game,checkpoint,agent,reward,vs_random,agent_random
double_dunk_v2,19800000,first_0,-1.1,False,False
entombed_competitive_v2,200000,first_0,0.45,False,False
entombed_competitive_v2,200000,first_0,-0.016666666666666666,False,False
entombed_competitive_v2,600000,first_0,0.5818181818181818,False,False
entombed_competitive_v2,600000,first_0,0.2777777777777778,False,False
entombed_competitive_v2,1000000,first_0,-0.4647887323943662,False,False
entombed_competitive_v2,1000000,first_0,-0.352112676056338,False,False
entombed_competitive_v2,1400000,first_0,0.1774193548387097,False,False
entombed_competitive_v2,1400000,first_0,-0.3076923076923077,False,False
entombed_competitive_v2,1800000,first_0,0.4090909090909091,False,False
boxing_v1,19800000,first_0,-3.896551724137931,False,False
entombed_competitive_v2,1800000,first_0,0.1791044776119403,False,False
entombed_competitive_v2,2200000,first_0,-0.25925925925925924,False,False
entombed_competitive_v2,2200000,first_0,0.11392405063291139,False,False
entombed_competitive_v2,2600000,first_0,-0.746031746031746,False,False
entombed_competitive_v2,2600000,first_0,-0.5161290322580645,False,False
entombed_competitive_v2,3000000,first_0,-1.0,False,False
entombed_competitive_v2,3000000,first_0,-1.0945945945945945,False,False
entombed_competitive_v2,3400000,first_0,-0.15584415584415584,False,False
entombed_competitive_v2,3400000,first_0,0.410958904109589,False,False
entombed_competitive_v2,3800000,first_0,-1.0597014925373134,False,False
ice_hockey_v1,200000,first_0,1.2777777777777777,False,False
entombed_competitive_v2,3800000,first_0,-0.5692307692307692,False,False
entombed_competitive_v2,4200000,first_0,1.3116883116883118,False,False
entombed_competitive_v2,4200000,first_0,1.2987012987012987,False,False
entombed_competitive_v2,4600000,first_0,-1.9733333333333334,False,False
entombed_competitive_v2,4600000,first_0,-2.0684931506849313,False,False
entombed_competitive_v2,5000000,first_0,0.2833333333333333,False,False
entombed_competitive_v2,5000000,first_0,0.07575757575757576,False,False
entombed_competitive_v2,5400000,first_0,0.7540983606557377,False,False
entombed_competitive_v2,5400000,first_0,0.5081967213114754,False,False
entombed_competitive_v2,5800000,first_0,-1.45,False,False
ice_hockey_v1,200000,first_0,0.8888888888888888,False,False
entombed_competitive_v2,5800000,first_0,-1.2564102564102564,False,False
entombed_competitive_v2,6200000,first_0,0.1746031746031746,False,False
entombed_competitive_v2,6200000,first_0,-0.27419354838709675,False,False
entombed_competitive_v2,6600000,first_0,0.2909090909090909,False,False
entombed_competitive_v2,6600000,first_0,0.2222222222222222,False,False
entombed_competitive_v2,7000000,first_0,0.2857142857142857,False,False
entombed_competitive_v2,7000000,first_0,0.36065573770491804,False,False
entombed_competitive_v2,7400000,first_0,1.1076923076923078,False,False
entombed_competitive_v2,7400000,first_0,1.380952380952381,False,False
entombed_competitive_v2,7800000,first_0,-1.2413793103448276,False,False
ice_hockey_v1,600000,first_0,-0.5263157894736842,False,False
entombed_competitive_v2,7800000,first_0,-0.9107142857142857,False,False
entombed_competitive_v2,8200000,first_0,-0.6851851851851852,False,False
entombed_competitive_v2,8200000,first_0,-0.43859649122807015,False,False
entombed_competitive_v2,8600000,first_0,-0.68,False,False
entombed_competitive_v2,8600000,first_0,-0.723404255319149,False,False
entombed_competitive_v2,9000000,first_0,0.22916666666666666,False,False
entombed_competitive_v2,9000000,first_0,0.2765957446808511,False,False
entombed_competitive_v2,9400000,first_0,0.6470588235294118,False,False
entombed_competitive_v2,9400000,first_0,0.7083333333333334,False,False
entombed_competitive_v2,9800000,first_0,-1.0909090909090908,False,False
ice_hockey_v1,600000,first_0,-0.5263157894736842,False,False
entombed_competitive_v2,9800000,first_0,-1.1904761904761905,False,False
entombed_competitive_v2,10200000,first_0,0.13559322033898305,False,False
entombed_competitive_v2,10200000,first_0,0.5846153846153846,False,False
entombed_competitive_v2,10600000,first_0,-0.6666666666666666,False,False
entombed_competitive_v2,10600000,first_0,0.06976744186046512,False,False
entombed_competitive_v2,11000000,first_0,-0.5909090909090909,False,False
entombed_competitive_v2,11000000,first_0,-0.5238095238095238,False,False
entombed_competitive_v2,11400000,first_0,-1.3703703703703705,False,False
entombed_competitive_v2,11400000,first_0,-1.2115384615384615,False,False
entombed_competitive_v2,11800000,first_0,-0.6666666666666666,False,False
ice_hockey_v1,1000000,first_0,0.05263157894736842,False,False
entombed_competitive_v2,11800000,first_0,-0.43478260869565216,False,False
entombed_competitive_v2,12200000,first_0,0.11538461538461539,False,False
entombed_competitive_v2,12200000,first_0,0.4444444444444444,False,False
entombed_competitive_v2,12600000,first_0,0.6216216216216216,False,False
entombed_competitive_v2,12600000,first_0,1.0714285714285714,False,False
