game,checkpoint,agent,reward,vs_random,agent_random
double_dunk_v2,19800000,first_0,4.090909090909091,False,False
entombed_competitive_v2,200000,first_0,0.6825396825396826,False,False
entombed_competitive_v2,200000,first_0,0.2459016393442623,False,False
entombed_competitive_v2,600000,first_0,0.2692307692307692,False,False
entombed_competitive_v2,600000,first_0,0.7142857142857143,False,False
entombed_competitive_v2,1000000,first_0,0.14925373134328357,False,False
entombed_competitive_v2,1000000,first_0,-0.391304347826087,False,False
entombed_competitive_v2,1400000,first_0,0.015873015873015872,False,False
entombed_competitive_v2,1400000,first_0,-0.03278688524590164,False,False
entombed_competitive_v2,1800000,first_0,-0.2878787878787879,False,False
boxing_v1,19800000,first_0,-1.3103448275862069,False,False
entombed_competitive_v2,1800000,first_0,-0.4153846153846154,False,False
entombed_competitive_v2,2200000,first_0,-0.27631578947368424,False,False
entombed_competitive_v2,2200000,first_0,-0.5802469135802469,False,False
entombed_competitive_v2,2600000,first_0,-1.0,False,False
entombed_competitive_v2,2600000,first_0,-1.0454545454545454,False,False
entombed_competitive_v2,3000000,first_0,-0.84,False,False
entombed_competitive_v2,3000000,first_0,-1.32,False,False
entombed_competitive_v2,3400000,first_0,0.0958904109589041,False,False
entombed_competitive_v2,3400000,first_0,-0.09333333333333334,False,False
entombed_competitive_v2,3800000,first_0,-0.6029411764705882,False,False
ice_hockey_v1,200000,first_0,1.4444444444444444,False,False
entombed_competitive_v2,3800000,first_0,-0.7424242424242424,False,False
entombed_competitive_v2,4200000,first_0,1.7721518987341771,False,False
entombed_competitive_v2,4200000,first_0,1.2916666666666667,False,False
entombed_competitive_v2,4600000,first_0,-1.9605263157894737,False,False
entombed_competitive_v2,4600000,first_0,-1.6891891891891893,False,False
entombed_competitive_v2,5000000,first_0,0.3125,False,False
entombed_competitive_v2,5000000,first_0,-0.22580645161290322,False,False
entombed_competitive_v2,5400000,first_0,0.515625,False,False
entombed_competitive_v2,5400000,first_0,0.109375,False,False
entombed_competitive_v2,5800000,first_0,-1.9078947368421053,False,False
ice_hockey_v1,200000,first_0,0.3333333333333333,False,False
entombed_competitive_v2,5800000,first_0,-1.4556962025316456,False,False
entombed_competitive_v2,6200000,first_0,-0.20967741935483872,False,False
entombed_competitive_v2,6200000,first_0,-0.06557377049180328,False,False
