game,checkpoint,agent,agent1_rew,agent2_rew,agent3_rew,agent4_rew,vs_random,agent_random
foozpong_v1,11400000,fourth_0,2.4545454545454546,-2.4545454545454546,2.4545454545454546,-2.4545454545454546,True,False
foozpong_v1,11800000,first_0,1.3333333333333333,-1.3333333333333333,1.3333333333333333,-1.3333333333333333,False,False
foozpong_v1,11800000,first_0,4.416666666666667,-4.416666666666667,4.416666666666667,-4.416666666666667,True,False
foozpong_v1,11800000,second_0,-4.0,4.0,-4.0,4.0,True,False
foozpong_v1,11800000,third_0,-2.3636363636363638,2.3636363636363638,-2.3636363636363638,2.3636363636363638,True,False
foozpong_v1,11800000,fourth_0,-0.5,0.5,-0.5,0.5,True,False
foozpong_v1,12200000,first_0,-4.333333333333333,4.333333333333333,-4.333333333333333,4.333333333333333,False,False
foozpong_v1,12200000,first_0,2.090909090909091,-2.090909090909091,2.090909090909091,-2.090909090909091,True,False
foozpong_v1,12200000,second_0,-1.0,1.0,-1.0,1.0,True,False
foozpong_v1,12200000,third_0,-2.6,2.6,-2.6,2.6,True,False
boxing_v1,13400000,first_0,-2.4827586206896552,2.4827586206896552,nan,nan,False,False
foozpong_v1,12200000,fourth_0,1.6,-1.6,1.6,-1.6,True,False
foozpong_v1,12600000,first_0,-14.5,14.5,-14.5,14.5,False,False
foozpong_v1,12600000,first_0,5.230769230769231,-5.230769230769231,5.230769230769231,-5.230769230769231,True,False
foozpong_v1,12600000,second_0,-1.5,1.5,-1.5,1.5,True,False
foozpong_v1,12600000,third_0,-3.090909090909091,3.090909090909091,-3.090909090909091,3.090909090909091,True,False
foozpong_v1,12600000,fourth_0,-0.4444444444444444,0.4444444444444444,-0.4444444444444444,0.4444444444444444,True,False
foozpong_v1,13000000,first_0,10.6,-10.6,10.6,-10.6,False,False
foozpong_v1,13000000,first_0,5.583333333333333,-5.583333333333333,5.583333333333333,-5.583333333333333,True,False
foozpong_v1,13000000,second_0,-5.444444444444445,5.444444444444445,-5.444444444444445,5.444444444444445,True,False
foozpong_v1,13000000,third_0,1.2,-1.2,1.2,-1.2,True,False
boxing_v1,13400000,first_0,-0.4482758620689655,0.4482758620689655,nan,nan,True,False
foozpong_v1,13000000,fourth_0,-1.4,1.4,-1.4,1.4,True,False
foozpong_v1,13400000,first_0,-10.0,10.0,-10.0,10.0,False,False
foozpong_v1,13400000,first_0,2.3636363636363638,-2.3636363636363638,2.3636363636363638,-2.3636363636363638,True,False
foozpong_v1,13400000,second_0,-3.4,3.4,-3.4,3.4,True,False
foozpong_v1,13400000,third_0,-5.4,5.4,-5.4,5.4,True,False
foozpong_v1,13400000,fourth_0,-3.272727272727273,3.272727272727273,-3.272727272727273,3.272727272727273,True,False
foozpong_v1,13800000,first_0,-6.0,6.0,-6.0,6.0,False,False
foozpong_v1,13800000,first_0,4.454545454545454,-4.454545454545454,4.454545454545454,-4.454545454545454,True,False
foozpong_v1,13800000,second_0,-4.888888888888889,4.888888888888889,-4.888888888888889,4.888888888888889,True,False
foozpong_v1,13800000,third_0,4.4,-4.4,4.4,-4.4,True,False
boxing_v1,13400000,second_0,-36.241379310344826,36.241379310344826,nan,nan,True,False
foozpong_v1,13800000,fourth_0,-2.1818181818181817,2.1818181818181817,-2.1818181818181817,2.1818181818181817,True,False
foozpong_v1,14200000,first_0,-8.0,8.0,-8.0,8.0,False,False
foozpong_v1,14200000,first_0,6.181818181818182,-6.181818181818182,6.181818181818182,-6.181818181818182,True,False
foozpong_v1,14200000,second_0,-5.4,5.4,-5.4,5.4,True,False
foozpong_v1,14200000,third_0,0.0,0.0,0.0,0.0,True,False
foozpong_v1,14200000,fourth_0,-1.4545454545454546,1.4545454545454546,-1.4545454545454546,1.4545454545454546,True,False
foozpong_v1,14600000,first_0,-10.0,10.0,-10.0,10.0,False,False
foozpong_v1,14600000,first_0,3.8181818181818183,-3.8181818181818183,3.8181818181818183,-3.8181818181818183,True,False
foozpong_v1,14600000,second_0,-5.5,5.5,-5.5,5.5,True,False
foozpong_v1,14600000,third_0,-6.75,6.75,-6.75,6.75,True,False
boxing_v1,13800000,first_0,0.8275862068965517,-0.8275862068965517,nan,nan,False,False
foozpong_v1,14600000,fourth_0,-4.7272727272727275,4.7272727272727275,-4.7272727272727275,4.7272727272727275,True,False
foozpong_v1,15000000,first_0,-12.5,12.5,-12.5,12.5,False,False
foozpong_v1,15000000,first_0,3.4545454545454546,-3.4545454545454546,3.4545454545454546,-3.4545454545454546,True,False
foozpong_v1,15000000,second_0,-1.5,1.5,-1.5,1.5,True,False
foozpong_v1,15000000,third_0,1.0,-1.0,1.0,-1.0,True,False
foozpong_v1,15000000,fourth_0,-6.090909090909091,6.090909090909091,-6.090909090909091,6.090909090909091,True,False
